,epoch,train_loss,val_loss
0,1,0.17501401168401123,0.0
1,2,0.09399855932821341,0.0
2,3,0.08015884272754192,0.0
3,4,0.07074147112708275,0.0
4,5,0.0660493867726274,0.09006602830768372
5,6,0.06092385258627394,0.0
6,7,0.059319312770754265,0.0
7,8,0.05690334737300873,0.0
8,9,0.05437920113282451,0.0
9,10,0.05122019187674497,0.08439140467087593
10,11,0.04872710959059619,0.0
11,12,0.04584731387554622,0.0
12,13,0.044506368619171,0.0
13,14,0.045108561205570816,0.0
14,15,0.0434328445635451,0.08096659447794705
15,16,0.041387129819295446,0.0
16,17,0.04179048620144037,0.0
17,18,0.04031685048134112,0.0
18,19,0.03914336772136838,0.0
19,20,0.03913546031941482,0.08055101706292236
20,21,0.03919471742310485,0.0
21,22,0.038259362496557786,0.0
22,23,0.03829884875687908,0.0
23,24,0.03861170580172962,0.0
24,25,0.03658941826818745,0.08114417241802703
25,26,0.036298162604127424,0.0
26,27,0.034875604624305265,0.0
27,28,0.03510469373295216,0.0
28,29,0.035189330740704565,0.0
29,30,0.03441431007444696,0.08053208836158281
30,31,0.03288043910240541,0.0
31,32,0.0335380692197814,0.0
32,33,0.03245994411510685,0.0
33,34,0.03359105017626546,0.0
34,35,0.03289214524191097,0.07963961451279039
35,36,0.03361815533758512,0.0
36,37,0.032706780898603585,0.0
37,38,0.030380073761760863,0.0
38,39,0.03150025659999072,0.0
39,40,0.030991543369377896,0.08029477430920176
40,41,0.029692927115886916,0.0
41,42,0.030664427455290744,0.0
42,43,0.03029443655427688,0.0
43,44,0.030589782225751812,0.0
44,45,0.030327322124376322,0.08006077585259827
45,46,0.029743494343806486,0.0
46,47,0.02932520533397875,0.0
47,48,0.030075330974259337,0.0
48,49,0.031202776097982634,0.0
49,50,0.029483242540574463,0.08011015231564919
50,51,0.029204137819244073,0.0
51,52,0.028612999057224215,0.0
52,53,0.028517144381022843,0.0
53,54,0.02928377129137516,0.0
54,55,0.028704195497099492,0.07970188800798275
55,56,0.02822148865546848,0.0
56,57,0.02766452757692565,0.0
57,58,0.02713751648374594,0.0
58,59,0.028137358770670137,0.0
59,60,0.027640958049441458,0.08013783697632776
60,61,0.026481352224844237,0.0
61,62,0.027343097153053584,0.0
62,63,0.02644996457005459,0.0
63,64,0.02668405609724463,0.0
64,65,0.027189748819734228,0.0797698760419323
65,66,0.02723107187209722,0.0
66,67,0.025657952676623897,0.0
67,68,0.026809686448811834,0.0
68,69,0.02687114921953183,0.0
69,70,0.026131928636300598,0.0787893833992315
70,71,0.025485803510566226,0.0
71,72,0.02676226173736196,0.0
72,73,0.025833939008740453,0.0
73,74,0.0255468227071026,0.0
74,75,0.025439190711378238,0.08107982657135068
75,76,0.02572673172918988,0.0
76,77,0.025294572277798678,0.0
77,78,0.024824721825212403,0.0
78,79,0.024978794386518784,0.0
79,80,0.024840085645068864,0.08041731687230518
80,81,0.02505679070807057,0.0
81,82,0.025587060946787966,0.0
82,83,0.025160688825480924,0.0
83,84,0.02543100300932028,0.0
84,85,0.024232015074765096,0.0802051841163734
85,86,0.02477515546370888,0.0
86,87,0.023953755605009085,0.0
87,88,0.024265078313730128,0.0
88,89,0.02393187746364888,0.0
89,90,0.02488128742447398,0.0803618558918385
90,91,0.024109946390807303,0.0
91,92,0.02432036158613494,0.0
92,93,0.024752955369732745,0.0
93,94,0.023754669645994576,0.0
94,95,0.023467915402369095,0.08027545230564699
95,96,0.023991829405228298,0.0
96,97,0.024605808308846802,0.0
97,98,0.024111625346573975,0.0
98,99,0.023199008105963956,0.0
99,100,0.023757124245879266,0.08014382584453698
100,101,0.023193434593293184,0.0
101,102,0.024498408660292625,0.0
102,103,0.023148900946307054,0.0
103,104,0.02356018016847675,0.0
104,105,0.023791517522898528,0.08158434297069342
105,106,0.023223997882562256,0.0
106,107,0.023013481916096368,0.0
107,108,0.02382222418240755,0.0
108,109,0.022664084910959656,0.0
109,110,0.023461106190040625,0.07993488123780534
110,111,0.024772753241812922,0.0
111,112,0.022787724535077648,0.0
112,113,0.02270625092475955,0.0
113,114,0.02254698561921797,0.0
114,115,0.022828965432575492,0.08141532997948454
115,116,0.0221340291690631,0.0
116,117,0.022777820171411733,0.0
117,118,0.0229267080853912,0.0
118,119,0.023650043638921828,0.0
119,120,0.022022597860707774,0.0809813891405727
120,121,0.0219492078020843,0.0
121,122,0.02274658734518322,0.0
122,123,0.022377102338082967,0.0
123,124,0.02283993234623814,0.0
124,125,0.022989302318889262,0.08114676897364538
125,126,0.021812111319963887,0.0
126,127,0.022699198502375454,0.0
127,128,0.02239505237202501,0.0
128,129,0.022494240328058846,0.0
129,130,0.022658888255678564,0.08115072699560635
130,131,0.022738788882524914,0.0
131,132,0.022231229453708957,0.0
132,133,0.02252461938085696,0.0
133,134,0.022972009943726935,0.0
134,135,0.021827306634049273,0.08000127939292692
135,136,0.022140086399482898,0.0
136,137,0.0221522165732102,0.0
137,138,0.02202715640734942,0.0
138,139,0.022866684521034443,0.0
139,140,0.022070441560443143,0.08130438563081624
140,141,0.02159312579149757,0.0
141,142,0.02231999446734623,0.0
142,143,0.02288709463592354,0.0
143,144,0.02179188610823021,0.0
144,145,0.02218800236068951,0.08043330690834422
145,146,0.02201142525961979,0.0
146,147,0.021842387362378216,0.0
147,148,0.02258562829722065,0.0
148,149,0.022065027074918885,0.0
149,150,0.02228295687036436,0.07944922456665644
